feature_id	feature_name	feature_type	genesymbol_from_map	genesymbol_source	last_seen_name	last_seen_reference	target_class	human_gene_symbol	external_target_name	validation_assay	validation_feature	mapping_method	mapping_confidence	mapping_evidence	needs_llm_review	needs_manual_review	llm_model	llm_suggested_target_class	llm_suggested_gene_symbol	llm_suggested_validation_assay	llm_suggested_validation_feature	llm_confidence	llm_reason
mAOC433	HTO-433	Antibody Capture					hashtag		HTO-433	HTO	HTO-433	rule:hashtag	0.95	HTO hashtag feature detected	FALSE	FALSE							
mAOC434	HTO-434	Antibody Capture					hashtag		HTO-434	HTO	HTO-434	rule:hashtag	0.95	HTO hashtag feature detected	FALSE	FALSE							
mAOC435	HTO-435	Antibody Capture					hashtag		HTO-435	HTO	HTO-435	rule:hashtag	0.95	HTO hashtag feature detected	FALSE	FALSE							
mAOC436	HTO-436	Antibody Capture					hashtag		HTO-436	HTO	HTO-436	rule:hashtag	0.95	HTO hashtag feature detected	FALSE	FALSE							
mAOC437	HTO-437	Antibody Capture					hashtag		HTO-437	HTO	HTO-437	rule:hashtag	0.95	HTO hashtag feature detected	FALSE	FALSE							
FADT0037	mAOC-S	Antibody Capture	SPIKE-FP-C77G12	reference:对应基因名	S-FP-C77G12	抗体信息对照表260611-FY.xlsx	spike_control		SPIKE-FP-C77G12	none		rule:spike_control	1.00	Spike target detected	FALSE	FALSE							
FADT0040	mAOC-CD45RA	Antibody Capture	PTPRC	reference:对应基因名	mAOC-CD45RA	抗体信息对照表260611-FY.xlsx	cd45_isoform	PTPRC		CD45isoforms	PTPRC-RA	rule:cd45_isoform	1.00	CD45RA detected in feature/map fields	FALSE	FALSE							
FADT0041	mAOC-CD80	Antibody Capture	CD80	reference:对应基因名	mAOC-CD80	抗体信息对照表260611-FY.xlsx	gene	CD80		RNA	CD80	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
FADT0042	mAOC-CD21	Antibody Capture	CR2	reference:对应基因名	mAOC-CD21	抗体信息对照表260611-FY.xlsx	gene	CR2		RNA	CR2	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
FADT0043	mAOC-CD19	Antibody Capture	CD19	reference:对应基因名	mAOC-CD19	抗体信息对照表260611-FY.xlsx	gene	CD19		RNA	CD19	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
FADT0046	mAOC-CD4	Antibody Capture	CD4	reference:对应基因名	mAOC-CD4	抗体信息对照表260611-FY.xlsx	gene	CD4		RNA	CD4	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
FADT0158	mAOC-CD27	Antibody Capture	CD27	reference:对应基因名	mAOC-CD27	抗体信息对照表260611-FY.xlsx	gene	CD27		RNA	CD27	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
FADT0159	mAOC-CD28	Antibody Capture	CD28	reference:对应基因名	mAOC-CD28	抗体信息对照表260611-FY.xlsx	gene	CD28		RNA	CD28	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
FADT0160	mAOC-CD161	Antibody Capture	KLRB1	reference:对应基因名	mAOC-CD161	抗体信息对照表260611-FY.xlsx	gene	KLRB1		RNA	KLRB1	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
FADT0161	mAOC-CD38	Antibody Capture	CD38	reference:对应基因名	mAOC-CD38	抗体信息对照表260611-FY.xlsx	gene	CD38		RNA	CD38	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
FADT0166	mAOC-CD1d	Antibody Capture	CD1D	reference:对应基因名	mAOC-CD1d	抗体信息对照表260611-FY.xlsx	gene	CD1D		RNA	CD1D	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
FADT0167	mAOC-CD22	Antibody Capture	CD22	reference:对应基因名	mAOC-CD22	抗体信息对照表260611-FY.xlsx	gene	CD22		RNA	CD22	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
FADT0170	Tag-ALFA	Antibody Capture	Tag-ALFA	reference:对应基因名	Tag-ALFA	抗体信息对照表260611-FY.xlsx	gene	Tag-ALFA		RNA	Tag-ALFA	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
FADT0175	mAOC-CD340	Antibody Capture	ERBB2	reference:对应基因名	mAOC-CD340	抗体信息对照表260611-FY.xlsx	gene	ERBB2		RNA	ERBB2	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
FADT0180	mAOC-CD86	Antibody Capture	CD86	reference:对应基因名	mAOC-CD86	抗体信息对照表260611-FY.xlsx	gene	CD86		RNA	CD86	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
FADT0186	mAOC-CD223	Antibody Capture	LAG3	reference:对应基因名	mAOC-CD223	抗体信息对照表260611-FY.xlsx	gene	LAG3		RNA	LAG3	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0297	mAOC-CD100	Antibody Capture	SEMA4D	reference:对应基因名	mAOC-CD100	抗体信息对照表260611-FY.xlsx	gene	SEMA4D		RNA	SEMA4D	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
