feature_id	feature_name	target_class	human_gene_symbol	external_target_name	validation_assay	validation_feature	mapping_method	mapping_confidence	llm_suggested_target_class	llm_suggested_gene_symbol	llm_confidence	llm_reason	needs_manual_review	manual_curated_target_class	manual_curated_gene_symbol	manual_notes
mAOC433	HTO-433	hashtag		HTO-433	HTO	HTO-433	rule:hashtag	0.95					FALSE			
mAOC434	HTO-434	hashtag		HTO-434	HTO	HTO-434	rule:hashtag	0.95					FALSE			
mAOC435	HTO-435	hashtag		HTO-435	HTO	HTO-435	rule:hashtag	0.95					FALSE			
mAOC436	HTO-436	hashtag		HTO-436	HTO	HTO-436	rule:hashtag	0.95					FALSE			
mAOC437	HTO-437	hashtag		HTO-437	HTO	HTO-437	rule:hashtag	0.95					FALSE			
FADT0037	mAOC-S	spike_control		SPIKE-FP-C77G12	none		rule:spike_control	1.00					FALSE			
FADT0040	mAOC-CD45RA	cd45_isoform	PTPRC		CD45isoforms	PTPRC-RA	rule:cd45_isoform	1.00					FALSE			
FADT0041	mAOC-CD80	gene	CD80		RNA	CD80	map:id_left_join	0.95					FALSE			
FADT0042	mAOC-CD21	gene	CR2		RNA	CR2	map:id_left_join	0.95					FALSE			
FADT0043	mAOC-CD19	gene	CD19		RNA	CD19	map:id_left_join	0.95					FALSE			
FADT0046	mAOC-CD4	gene	CD4		RNA	CD4	map:id_left_join	0.95					FALSE			
FADT0158	mAOC-CD27	gene	CD27		RNA	CD27	map:id_left_join	0.95					FALSE			
FADT0159	mAOC-CD28	gene	CD28		RNA	CD28	map:id_left_join	0.95					FALSE			
FADT0160	mAOC-CD161	gene	KLRB1		RNA	KLRB1	map:id_left_join	0.95					FALSE			
FADT0161	mAOC-CD38	gene	CD38		RNA	CD38	map:id_left_join	0.95					FALSE			
FADT0166	mAOC-CD1d	gene	CD1D		RNA	CD1D	map:id_left_join	0.95					FALSE			
FADT0167	mAOC-CD22	gene	CD22		RNA	CD22	map:id_left_join	0.95					FALSE			
FADT0170	Tag-ALFA	gene	Tag-ALFA		RNA	Tag-ALFA	map:id_left_join	0.95					FALSE			
FADT0175	mAOC-CD340	gene	ERBB2		RNA	ERBB2	map:id_left_join	0.95					FALSE			
FADT0180	mAOC-CD86	gene	CD86		RNA	CD86	map:id_left_join	0.95					FALSE			
FADT0186	mAOC-CD223	gene	LAG3		RNA	LAG3	map:id_left_join	0.95					FALSE			
mAOC0297	mAOC-CD100	gene	SEMA4D		RNA	SEMA4D	map:id_left_join	0.95					FALSE			
mAOC0301	mAOC-CD16	gene	FCGR3A/FCGR3B		RNA	FCGR3A/FCGR3B	map:id_left_join	0.95					FALSE			
mAOC0303	mAOC-CD56	gene	NCAM1		RNA	NCAM1	map:id_left_join	0.95					FALSE			
