group_by	group_level	n_cells	feature_id	feature_name	target_class	validation_assay	validation_feature	mean_ADT_CLR	status	message	mean_CD45isoform_signal
Adult_cHSPCs_Ultima_majority_voting	B	652	FADT0040	mAOC-CD45RA	cd45_isoform	CD45isoforms	PTPRC-RA	4.88455592282479	ok		0.32389228860944
Adult_cHSPCs_Ultima_majority_voting	CLP	506	FADT0040	mAOC-CD45RA	cd45_isoform	CD45isoforms	PTPRC-RA	3.1899008519284	ok		0.413698598583429
Adult_cHSPCs_Ultima_majority_voting	ERYP	440	FADT0040	mAOC-CD45RA	cd45_isoform	CD45isoforms	PTPRC-RA	0.161906039306689	ok		0.027100809426383
Adult_cHSPCs_Ultima_majority_voting	GMP-L	663	FADT0040	mAOC-CD45RA	cd45_isoform	CD45isoforms	PTPRC-RA	1.2980191841199	ok		0.0772993531293729
Adult_cHSPCs_Ultima_majority_voting	HSC_MPP	8254	FADT0040	mAOC-CD45RA	cd45_isoform	CD45isoforms	PTPRC-RA	1.14462453873392	ok		0.127527960423515
Adult_cHSPCs_Ultima_majority_voting	MEBEMP-L	1898	FADT0040	mAOC-CD45RA	cd45_isoform	CD45isoforms	PTPRC-RA	0.0770857986067603	ok		0.0235548144840573
Adult_cHSPCs_Ultima_majority_voting	MKP	565	FADT0040	mAOC-CD45RA	cd45_isoform	CD45isoforms	PTPRC-RA	0.492879865768577	ok		0.0518004888497107
Adult_cHSPCs_Ultima_majority_voting	Monocyte	195	FADT0040	mAOC-CD45RA	cd45_isoform	CD45isoforms	PTPRC-RA	1.56753968264451	ok		0.0116175253852302
Adult_cHSPCs_Ultima_majority_voting	NK/T	116	FADT0040	mAOC-CD45RA	cd45_isoform	CD45isoforms	PTPRC-RA	3.35786791028099	ok		0.273592269760929
Standardpcaclusters	1	116	FADT0040	mAOC-CD45RA	cd45_isoform	CD45isoforms	PTPRC-RA	3.35786791028099	ok		0.273592269760929
Standardpcaclusters	2	652	FADT0040	mAOC-CD45RA	cd45_isoform	CD45isoforms	PTPRC-RA	4.88455592282479	ok		0.32389228860944
Standardpcaclusters	3	2689	FADT0040	mAOC-CD45RA	cd45_isoform	CD45isoforms	PTPRC-RA	2.03907411591418	ok		0.210834261891757
Standardpcaclusters	4	506	FADT0040	mAOC-CD45RA	cd45_isoform	CD45isoforms	PTPRC-RA	3.1899008519284	ok		0.413698598583429
Standardpcaclusters	5	690	FADT0040	mAOC-CD45RA	cd45_isoform	CD45isoforms	PTPRC-RA	1.0614688102256	ok		0.115395724782924
Standardpcaclusters	6	663	FADT0040	mAOC-CD45RA	cd45_isoform	CD45isoforms	PTPRC-RA	1.2980191841199	ok		0.0772993531293729
Standardpcaclusters	7	1552	FADT0040	mAOC-CD45RA	cd45_isoform	CD45isoforms	PTPRC-RA	0.949881221767928	ok		0.124882908963344
Standardpcaclusters	8	2101	FADT0040	mAOC-CD45RA	cd45_isoform	CD45isoforms	PTPRC-RA	0.259064317441448	ok		0.0657583894500887
Standardpcaclusters	9	440	FADT0040	mAOC-CD45RA	cd45_isoform	CD45isoforms	PTPRC-RA	0.161906039306689	ok		0.027100809426383
Standardpcaclusters	10	1898	FADT0040	mAOC-CD45RA	cd45_isoform	CD45isoforms	PTPRC-RA	0.0770857986067603	ok		0.0235548144840573
Standardpcaclusters	11	346	FADT0040	mAOC-CD45RA	cd45_isoform	CD45isoforms	PTPRC-RA	0.564012045611948	ok		0.063588021113532
Standardpcaclusters	12	135	FADT0040	mAOC-CD45RA	cd45_isoform	CD45isoforms	PTPRC-RA	0.570533929604839	ok		0.05382089551707
Standardpcaclusters	13	1222	FADT0040	mAOC-CD45RA	cd45_isoform	CD45isoforms	PTPRC-RA	0.99323844421651	ok		0.0606241849941059
Standardpcaclusters	14	84	FADT0040	mAOC-CD45RA	cd45_isoform	CD45isoforms	PTPRC-RA	0.075081855724507	ok		0
Standardpcaclusters	15	195	FADT0040	mAOC-CD45RA	cd45_isoform	CD45isoforms	PTPRC-RA	1.56753968264451	ok		0.0116175253852302
