group_by	group_level	n_cells	feature_id	feature_name	target_class	validation_assay	validation_feature	mean_ADT_CLR	status	message	mean_RNA_lognormalized
Adult_cHSPCs_Ultima_majority_voting	B	652	FADT0041	mAOC-CD80	gene	RNA	CD80	0.0461405394154555	ok		0.0290399456063094
Adult_cHSPCs_Ultima_majority_voting	CLP	506	FADT0041	mAOC-CD80	gene	RNA	CD80	0.0164174772594065	ok		0.0110690016838002
Adult_cHSPCs_Ultima_majority_voting	ERYP	440	FADT0041	mAOC-CD80	gene	RNA	CD80	0.00550584468228644	ok		0.0104930165556421
Adult_cHSPCs_Ultima_majority_voting	GMP-L	663	FADT0041	mAOC-CD80	gene	RNA	CD80	0.0210140407299048	ok		0.0014072506176295
Adult_cHSPCs_Ultima_majority_voting	HSC_MPP	8254	FADT0041	mAOC-CD80	gene	RNA	CD80	0.0265817763746231	ok		0.00272030177708298
Adult_cHSPCs_Ultima_majority_voting	MEBEMP-L	1898	FADT0041	mAOC-CD80	gene	RNA	CD80	0.015184866743222	ok		0.0123410404446057
Adult_cHSPCs_Ultima_majority_voting	MKP	565	FADT0041	mAOC-CD80	gene	RNA	CD80	0.0342280085797826	ok		0.0036597944125288
Adult_cHSPCs_Ultima_majority_voting	Monocyte	195	FADT0041	mAOC-CD80	gene	RNA	CD80	0.0745930984839727	ok		0.226264589842911
Adult_cHSPCs_Ultima_majority_voting	NK/T	116	FADT0041	mAOC-CD80	gene	RNA	CD80	0.167587218062953	ok		0
Adult_cHSPCs_Ultima_majority_voting	B	652	FADT0042	mAOC-CD21	gene	RNA	CR2	3.52003778013939	ok		0.164088006412352
Adult_cHSPCs_Ultima_majority_voting	CLP	506	FADT0042	mAOC-CD21	gene	RNA	CR2	0.654783634146385	ok		0.00187308863267561
Adult_cHSPCs_Ultima_majority_voting	ERYP	440	FADT0042	mAOC-CD21	gene	RNA	CR2	0.0194132647337176	ok		0.000613515772293451
Adult_cHSPCs_Ultima_majority_voting	GMP-L	663	FADT0042	mAOC-CD21	gene	RNA	CR2	0.219289466153151	ok		0.00213077214382544
Adult_cHSPCs_Ultima_majority_voting	HSC_MPP	8254	FADT0042	mAOC-CD21	gene	RNA	CR2	0.0761822246161354	ok		0.000539205497339997
