group_by	feature_id	feature_name	target_class	validation_assay	validation_feature	validation_signal	pearson_correlation	spearman_correlation	linear_model_slope	linear_model_r_squared	n_groups	min_cells_per_group	status	message
Adult_cHSPCs_Ultima_majority_voting	FADT0041	mAOC-CD80	gene	RNA	CD80	RNA log-normalized group mean	0.185093213615895	-0.0666666666666667	0.127388791187058	0.0342594977266594	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	FADT0042	mAOC-CD21	gene	RNA	CR2	RNA log-normalized group mean	0.89170335990073	0.716666666666667	19.8903259022646	0.795134882058251	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	FADT0043	mAOC-CD19	gene	RNA	CD19	RNA log-normalized group mean	0.382690731870403	0.13547584699278	0.00405323795956422	0.146452196259504	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	FADT0046	mAOC-CD4	gene	RNA	CD4	RNA log-normalized group mean	0.861953560256995	0.883333333333333	5.81405727952832	0.742963940039709	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	FADT0158	mAOC-CD27	gene	RNA	CD27	RNA log-normalized group mean	0.998115518881326	0.627620556566792	3.05078335321636	0.996234589031738	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	FADT0159	mAOC-CD28	gene	RNA	CD28	RNA log-normalized group mean	0.959789714618852	0.559402390487169	4.89899938495816	0.921196296288137	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	FADT0160	mAOC-CD161	gene	RNA	KLRB1	RNA log-normalized group mean	0.967812236610991	0.288176989038844	1.69644965815821	0.93666052533397	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	FADT0161	mAOC-CD38	gene	RNA	CD38	RNA log-normalized group mean	0.920567607782964	0.933333333333333	4.1678592406686	0.847444720499249	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	FADT0166	mAOC-CD1d	gene	RNA	CD1D	RNA log-normalized group mean	0.0582278917119148	0.406838102172486	1.30547408270409	0.00339048737321448	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	FADT0167	mAOC-CD22	gene	RNA	CD22	RNA log-normalized group mean	0.956547274648268	0.95	4.60817051139213	0.914982688637029	9	116	ok	
