feature_id	feature_name	target_class	assay	group_by	expected_positive_groups	prior_method	prior_confidence	observed_adt_positive_groups	observed_validation_high_groups	adt_validation_overlap_groups	expected_adt_overlap_groups	expected_validation_overlap_groups	step5_needs_manual_review	step5_review_reason	target_status	n_cells	n_nonzero_raw	zero_rate	nonzero_rate	mean_clr	median_clr	sd_clr	min_clr	q05_clr	q25_clr	q75_clr	q95_clr	max_clr	dynamic_range_clr	raw_mean_umi	raw_median_umi	raw_total_umi	selected_threshold_clr	selected_threshold_method	positive_rate	positive_n_cells	negative_n_cells	target_n_cells	non_target_n_cells	target_positive_rate	non_target_positive_rate	snr_raw	tnr_raw	target_dropout_pct	positive_cv_raw	distribution_status	gmm_quality_status	gmm_quality_message	adt_signal_class	adt_signal_reason	message
FADT0037	mAOC-S	spike_control	ADT	Adult_cHSPCs_Ultima_majority_voting		missing_prior_review	NA						FALSE		no_target_groups	13289	248	98.133795	1.866205	0.008368	0	0.065488	0	0	0	0	0	1.087101	0	0.106554	0	1416	0.616234	noise_3sd	0.293476	39	13250	0	13289	NA	NA	436.186931	NA	NA	16.118794	ok	rare_positive	Positive rate is below pass threshold.	no_target_detected_signal	No expected target groups, but thresholded ADT signal is detected.	; No expected_positive_groups available for TNR.
FADT0040	mAOC-CD45RA	cd45_isoform	ADT	Adult_cHSPCs_Ultima_majority_voting	B;CLP;GMP-L;NK/T	local_marker_prior	0.95	B;CLP;NK/T	B;CLP;NK/T	B;CLP;NK/T	B;CLP;NK/T	B;CLP;NK/T	FALSE		ok	13289	7816	41.184438	58.815562	1.226454	0.628144	1.469022	0	0	0	2.102825	4.245483	6.20368	4.245483	19.548649	1	259782	1.133979	noise_3sd	38.783957	5154	8135	1937	11352	78.058854	32.082452	83.650506	15.863978	11.564275	42.640925	ok	trimodal_candidate	BIC selected k=3; inspect both threshold candidates.	target_enriched	Target cells are enriched by raw TNR and thresholded positive rate.	; 
FADT0041	mAOC-CD80	gene	ADT	Adult_cHSPCs_Ultima_majority_voting		local_marker_prior:no_vote	0.95	B;Monocyte;NK/T	B;MEBEMP-L;Monocyte	B;Monocyte			FALSE		no_target_groups	13289	563	95.763413	4.236587	0.026811	0	0.14016	0	0	0	0	0	1.672406	0	0.244864	0	3254	0.790972	noise_3sd	1.045978	139	13150	0	13289	NA	NA	189.90811	NA	NA	19.607186	ok	rare_positive	Positive rate is below pass threshold.	no_target_detected_signal	No expected target groups, but thresholded ADT signal is detected.	; No expected_positive_groups available for TNR.
FADT0042	mAOC-CD21	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	B	local_marker_prior	0.95	B;CLP;NK/T	B;Monocyte;NK/T	B;NK/T	B	B	FALSE		ok	13289	2077	84.370532	15.629468	0.279537	0	0.854143	0	0	0	0	2.345284	6.001013	2.345284	3.920762	0	52103	1.026166	noise_3sd	8.232373	1094	12195	652	12637	99.233129	3.537232	254.179836	110.336175	0	41.923194	ok	trimodal_candidate	BIC selected k=3; inspect both threshold candidates.	target_enriched	Target cells are enriched by raw TNR and thresholded positive rate.	; 
FADT0043	mAOC-CD19	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	B	local_marker_prior	0.95	B;MEBEMP-L;Monocyte	B;CLP;NK/T	B	B	B	FALSE		ok	13289	15	99.887125	0.112875	0.000145	0	0.005298	0	0	0	0	0	0.309409	0	0.001204	0	16	NA		NA	NA	NA	652	12637	NA	NA	NA	0.766871	99.233129	NA	fit_failed	fit_failed	Too few cells in fit input.	no_target_enrichment	No threshold and no clear target raw enrichment.	Too few cells in fit input.; 
FADT0046	mAOC-CD4	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	Monocyte;NK/T	local_marker_prior	0.95	ERYP;Monocyte;NK/T	CLP;Monocyte;NK/T	Monocyte;NK/T	Monocyte;NK/T	Monocyte;NK/T	FALSE		ok	13289	9284	30.137708	69.862292	1.00874	0.921388	0.929205	0	0	0	1.617758	2.764754	5.375115	2.764754	5.191587	2	68991	0.989179	noise_3sd	45.496275	6046	7243	311	12978	70.418006	44.89906	14.349419	7.960935	17.041801	36.913675	ok	trimodal_candidate	BIC selected k=3; inspect both threshold candidates.	target_enriched	Target cells are enriched by raw TNR and thresholded positive rate.	; 
FADT0158	mAOC-CD27	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	B;NK/T	local_marker_prior	0.95	B;MKP;NK/T	MKP;Monocyte;NK/T	MKP;NK/T	B;NK/T	NK/T	FALSE		ok	13289	324	97.561893	2.438107	0.017559	0	0.149516	0	0	0	0	0	3.097362	0	0.165851	0	2204	1.049861	noise_3sd	0.323576	43	13246	768	12521	5.208333	0.02396	201.281704	14.807144	86.067708	25.392725	ok	rare_positive	Positive rate is below pass threshold.	rare_target_enriched	Low global positive rate but target cells are enriched.	; 
FADT0159	mAOC-CD28	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	NK/T	local_marker_prior	0.95	B;Monocyte;NK/T	B;MKP;NK/T	B;NK/T	NK/T	NK/T	FALSE		ok	13289	636	95.214087	4.785913	0.031935	0	0.163538	0	0	0	0	0	2.728222	0	0.226729	0	3013	0.786345	noise_3sd	1.121228	149	13140	116	13173	27.586207	0.88818	104.355705	11.314589	53.448276	34.30185	ok	rare_positive	Positive rate is below pass threshold.	rare_target_enriched	Low global positive rate but target cells are enriched.	; 
FADT0160	mAOC-CD161	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	NK/T	local_marker_prior	0.95	B;Monocyte;NK/T	CLP;MKP;NK/T	NK/T	NK/T	NK/T	FALSE		ok	13289	771	94.198209	5.801791	0.040257	0	0.182981	0	0	0	0	0.425579	2.765283	0.425579	0.266912	0	3547	0.749787	noise_3sd	1.79848	239	13050	116	13173	25.862069	1.586579	103.370658	12.827651	43.103448	34.423521	ok	rare_positive	Positive rate is below pass threshold.	rare_target_enriched	Low global positive rate but target cells are enriched.	; 
FADT0161	mAOC-CD38	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	B;CLP;GMP-L;MEBEMP-L	local_marker_prior	0.95	ERYP;GMP-L;NK/T	ERYP;GMP-L;NK/T	ERYP;GMP-L;NK/T	GMP-L	GMP-L	FALSE		ok	13289	13193	0.722402	99.277598	3.259968	3.320514	1.190838	0	1.07888	2.485782	4.105974	5.14887	6.466992	4.069989	62.507864	34	830667	2.16975	noise_3sd	81.435774	10822	2467	3719	9570	87.066416	79.247649	12.67211	1.78199	0.484001	23.799191	ok	trimodal_candidate	BIC selected k=3; inspect both threshold candidates.	target_enriched_broad	Broad thresholded signal still shows target enrichment.	; 
