feature_id	feature_name	target_class	assay	group_by	expected_positive_groups	prior_method	prior_confidence	observed_adt_positive_groups	observed_validation_high_groups	adt_validation_overlap_groups	expected_adt_overlap_groups	expected_validation_overlap_groups	step5_needs_manual_review	step5_review_reason	fit_input	gmm_status	gmm_message	gmm_quality_status	gmm_quality_message	adt_signal_class	adt_signal_reason	selected_k	fit_method	fit_n_cells	fit_n_cells_full	fit_n_unique	bic_k1	bic_k2	bic_k3	bic_delta_2_vs_1	bic_delta_3_vs_2	sigma_corrected	selected_threshold_clr	selected_threshold_method	threshold_noise_3sd	threshold_mid_3sd	threshold_intersection_1_2	threshold_intersection_2_3	component1_mean	component2_mean	component3_mean	component1_sd	component2_sd	component3_sd	component1_weight	component2_weight	component3_weight	separation_1_2	separation_2_3	overlap_1_2	overlap_2_3	positive_rate	positive_n_cells	negative_n_cells	snr_raw	tnr_raw	positive_cv_raw	si_raw	rd_raw	dr_raw	target_n_cells	target_positive_rate	non_target_positive_rate	target_dropout_pct
FADT0037	mAOC-S	spike_control	ADT	Adult_cHSPCs_Ultima_majority_voting		missing_prior_review	NA						FALSE		clr_positive_only	ok		rare_positive	Positive rate is below pass threshold.	no_target_detected_signal	No expected target groups, but thresholded ADT signal is detected.	2	normalmixEM	248	248	248	134.916224	165.436126	157.249118	30.519902	-8.187008	FALSE	0.616234	noise_3sd	0.616234	NA	0.480301	NA	0.347357	0.576119	NA	0.089626	0.185089	NA	0.559901	0.440099	NA	0.832728	NA	0.170861	NA	0.293476	39	13250	436.186931	NA	16.118794	7.599827	4.380822	0.765559	0	NA	NA	NA
FADT0040	mAOC-CD45RA	cd45_isoform	ADT	Adult_cHSPCs_Ultima_majority_voting	B;CLP;GMP-L;NK/T	local_marker_prior	0.95	B;CLP;NK/T	B;CLP;NK/T	B;CLP;NK/T	B;CLP;NK/T	B;CLP;NK/T	FALSE		clr_positive_only	ok		trimodal_candidate	BIC selected k=3; inspect both threshold candidates.	target_enriched	Target cells are enriched by raw TNR and thresholded positive rate.	3	normalmixEM	3000	7816	7788	-10558.26089	-9402.27351	-8204.314972	1155.98738	1197.958538	TRUE	1.133979	noise_3sd	1.133979	2.258581	0.82944	1.720931	0.61546	1.180746	3.088023	0.17284	0.359278	1.183235	0.172764	0.26918	0.558055	1.062333	1.236473	0.062671	0.083737	38.783957	5154	8135	83.650506	15.863978	42.640925	3.499056	1.639837	2.540048	1937	78.058854	32.082452	11.564275
FADT0041	mAOC-CD80	gene	ADT	Adult_cHSPCs_Ultima_majority_voting		local_marker_prior:no_vote	0.95	B;Monocyte;NK/T	B;MEBEMP-L;Monocyte	B;Monocyte			FALSE		clr_positive_only	ok		rare_positive	Positive rate is below pass threshold.	no_target_detected_signal	No expected target groups, but thresholded ADT signal is detected.	2	normalmixEM	563	563	563	-189.280699	17.443451	12.259646	206.72415	-5.183805	FALSE	0.790972	noise_3sd	0.790972	NA	0.670795	NA	0.468993	0.898553	NA	0.107326	0.27813	NA	0.617751	0.382249	NA	1.114416	NA	0.096835	NA	1.045978	139	13150	189.90811	NA	19.607186	5.721798	3.490614	1.035554	0	NA	NA	NA
FADT0042	mAOC-CD21	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	B	local_marker_prior	0.95	B;CLP;NK/T	B;Monocyte;NK/T	B;NK/T	B	B	FALSE		clr_positive_only	ok		trimodal_candidate	BIC selected k=3; inspect both threshold candidates.	target_enriched	Target cells are enriched by raw TNR and thresholded positive rate.	3	normalmixEM	2077	2077	2077	-7316.379694	-5627.377389	-5016.734766	1689.002304	610.642623	TRUE	1.026166	noise_3sd	1.026166	2.28937	0.730853	1.943082	0.56919	0.969128	3.470753	0.152326	0.44008	0.837426	0.219399	0.417896	0.362705	0.675108	1.958209	0.136199	0.017971	8.232373	1094	12195	254.179836	110.336175	41.923194	7.76818	2.035721	2.780857	652	99.233129	3.537232	0
FADT0043	mAOC-CD19	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	B	local_marker_prior	0.95	B;MEBEMP-L;Monocyte	B;CLP;NK/T	B	B	B	FALSE		clr_positive_only	fit_failed	Too few cells in fit input.	fit_failed	Too few cells in fit input.	no_target_enrichment	No threshold and no clear target raw enrichment.	NA		15	NA	15	NA	NA	NA	NA	NA	FALSE	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.766871	NA	NA	NA	NA	652	NA	NA	99.233129
FADT0046	mAOC-CD4	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	Monocyte;NK/T	local_marker_prior	0.95	ERYP;Monocyte;NK/T	CLP;Monocyte;NK/T	Monocyte;NK/T	Monocyte;NK/T	Monocyte;NK/T	FALSE		clr_positive_only	ok		trimodal_candidate	BIC selected k=3; inspect both threshold candidates.	target_enriched	Target cells are enriched by raw TNR and thresholded positive rate.	3	normalmixEM	3000	9284	9188	-6958.277494	-6136.824267	-4643.367081	821.453227	1493.457186	TRUE	0.989179	noise_3sd	0.989179	1.999037	0.808765	1.534586	0.620442	1.149422	2.071529	0.122912	0.283205	0.692096	0.227717	0.3344	0.437884	1.302531	0.945459	0.052515	0.122843	45.496275	6046	7243	14.349419	7.960935	36.913675	2.122726	1.470921	1.531685	311	70.418006	44.89906	17.041801
FADT0158	mAOC-CD27	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	B;NK/T	local_marker_prior	0.95	B;MKP;NK/T	MKP;Monocyte;NK/T	MKP;NK/T	B;NK/T	NK/T	FALSE		clr_positive_only	ok		rare_positive	Positive rate is below pass threshold.	rare_target_enriched	Low global positive rate but target cells are enriched.	2	normalmixEM	324	324	324	-642.778621	-199.072948	-194.257715	443.705673	4.815233	FALSE	1.049861	noise_3sd	1.049861	NA	1.066644	NA	0.491562	2.177659	NA	0.186099	0.591369	NA	0.864571	0.135429	NA	2.168701	NA	0.004946	NA	0.323576	43	13246	201.281704	14.807144	25.392725	14.499441	3.452849	2.200538	768	5.208333	0.02396	86.067708
FADT0159	mAOC-CD28	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	NK/T	local_marker_prior	0.95	B;Monocyte;NK/T	B;MKP;NK/T	B;NK/T	NK/T	NK/T	FALSE		clr_positive_only	ok		rare_positive	Positive rate is below pass threshold.	rare_target_enriched	Low global positive rate but target cells are enriched.	3	normalmixEM	636	636	636	-543.497266	-102.717431	-71.63602	440.779835	31.081411	FALSE	0.786345	noise_3sd	0.786345	1.435227	0.66236	1.18139	0.484787	0.738116	1.404626	0.10052	0.23237	0.499926	0.584871	0.299658	0.115471	0.761001	0.910164	0.132377	0.046177	1.121228	149	13140	104.355705	11.314589	34.30185	5.967358	2.313278	1.174676	116	27.586207	0.88818	53.448276
FADT0160	mAOC-CD161	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	NK/T	local_marker_prior	0.95	B;Monocyte;NK/T	CLP;MKP;NK/T	NK/T	NK/T	NK/T	FALSE		clr_positive_only	ok		rare_positive	Positive rate is below pass threshold.	rare_target_enriched	Low global positive rate but target cells are enriched.	3	normalmixEM	771	771	771	-588.953899	-121.956265	-27.524264	466.997634	94.432001	FALSE	0.749787	noise_3sd	0.749787	1.574287	0.65199	1.41361	0.494376	0.842032	1.567036	0.085137	0.244085	0.569884	0.552856	0.386789	0.060355	1.055994	0.890701	0.100227	0.027397	1.79848	239	13050	103.370658	12.827651	34.423521	5.190194	2.235772	1.074831	116	25.862069	1.586579	43.103448
FADT0161	mAOC-CD38	gene	ADT	Adult_cHSPCs_Ultima_majority_voting	B;CLP;GMP-L;MEBEMP-L	local_marker_prior	0.95	ERYP;GMP-L;NK/T	ERYP;GMP-L;NK/T	ERYP;GMP-L;NK/T	GMP-L	GMP-L	FALSE		clr_positive_only	ok		trimodal_candidate	BIC selected k=3; inspect both threshold candidates.	target_enriched_broad	Broad thresholded signal still shows target enrichment.	3	normalmixEM	3000	13193	12974	-9420.117181	-9385.793912	-9370.581651	34.323269	15.212261	TRUE	2.16975	noise_3sd	2.16975	5.494407	1.495679	4.037053	1.174028	3.009332	4.42287	0.331907	0.828358	0.686238	0.076869	0.636898	0.286232	1.581796	0.933277	0.034225	0.150523	81.435774	10822	2467	12.67211	1.78199	23.799191	2.064183	1.571282	2.216607	3719	87.066416	79.247649	0.484001
