feature_id	feature_name	target_class	human_gene_symbol	validation_assay	validation_feature	mapping_method	mapping_confidence	mapping_needs_llm_review	mapping_needs_manual_review	group_by	expected_positive_groups	prior_method	prior_confidence	observed_adt_positive_groups	observed_validation_high_groups	adt_validation_overlap_groups	expected_adt_overlap_groups	expected_validation_overlap_groups	step5_needs_manual_review	step5_review_reason	correlation_status	spearman_correlation	pearson_correlation	linear_model_r_squared	n_groups	positive_rate	positive_n_cells	target_positive_rate	non_target_positive_rate	tnr_raw	target_dropout_pct	gmm_quality_status	adt_signal_class	adt_signal_reason	final_label	final_confidence	decision_source	final_reason	recommended_action	llm_review_needed	llm_review_reason	candidate_labels
mAOC433	HTO-433	hashtag		HTO	HTO-433	rule:hashtag	0.95	FALSE	FALSE																										control	1.0	rule:control	Feature is a control, spike, hashtag, isotype, IgG/IgFc, or validation_assay=none technical feature.	Keep as technical control; exclude from biological target correctness calls.	FALSE		
mAOC434	HTO-434	hashtag		HTO	HTO-434	rule:hashtag	0.95	FALSE	FALSE																										control	1.0	rule:control	Feature is a control, spike, hashtag, isotype, IgG/IgFc, or validation_assay=none technical feature.	Keep as technical control; exclude from biological target correctness calls.	FALSE		
mAOC435	HTO-435	hashtag		HTO	HTO-435	rule:hashtag	0.95	FALSE	FALSE																										control	1.0	rule:control	Feature is a control, spike, hashtag, isotype, IgG/IgFc, or validation_assay=none technical feature.	Keep as technical control; exclude from biological target correctness calls.	FALSE		
mAOC436	HTO-436	hashtag		HTO	HTO-436	rule:hashtag	0.95	FALSE	FALSE																										control	1.0	rule:control	Feature is a control, spike, hashtag, isotype, IgG/IgFc, or validation_assay=none technical feature.	Keep as technical control; exclude from biological target correctness calls.	FALSE		
mAOC437	HTO-437	hashtag		HTO	HTO-437	rule:hashtag	0.95	FALSE	FALSE																										control	1.0	rule:control	Feature is a control, spike, hashtag, isotype, IgG/IgFc, or validation_assay=none technical feature.	Keep as technical control; exclude from biological target correctness calls.	FALSE		
FADT0037	mAOC-S	spike_control		none		rule:spike_control	1.00	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting		missing_prior_review	NA						FALSE							0.293476	39	NA	NA	NA	NA	rare_positive	no_target_detected_signal	No expected target groups, but thresholded ADT signal is detected.	control	1.0	rule:control	Feature is a control, spike, hashtag, isotype, IgG/IgFc, or validation_assay=none technical feature.	Keep as technical control; exclude from biological target correctness calls.	FALSE		
FADT0040	mAOC-CD45RA	cd45_isoform	PTPRC	CD45isoforms	PTPRC-RA	rule:cd45_isoform	1.00	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting	B;CLP;GMP-L;NK/T	local_marker_prior	0.95	B;CLP;NK/T	B;CLP;NK/T	B;CLP;NK/T	B;CLP;NK/T	B;CLP;NK/T	FALSE		ok	0.683333333333333	0.866469465763525	0.750769335100528	9	38.783957	5154	78.058854	32.082452	15.863978	11.564275	trimodal_candidate	target_enriched	Target cells are enriched by raw TNR and thresholded positive rate.	correct	0.9	rule:target_enriched	Mapping is resolved and Step 6 classified ADT signal as target_enriched.	Use as target-consistent ADT feature.	FALSE		
FADT0041	mAOC-CD80	gene	CD80	RNA	CD80	map:id_left_join	0.95	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting		local_marker_prior:no_vote	0.95	B;Monocyte;NK/T	B;MEBEMP-L;Monocyte	B;Monocyte			FALSE		ok	-0.0666666666666667	0.185093213615895	0.0342594977266594	9	1.045978	139	NA	NA	NA	NA	rare_positive	no_target_detected_signal	No expected target groups, but thresholded ADT signal is detected.	llm_review_needed		rule:llm_queue	RNA-ADT Spearman correlation is below threshold: -0.067 < 0.200. | Step 6 signal class is no_target_detected_signal, which requires semantic review.	Send structured evidence to LLM for final triage label.	TRUE	RNA-ADT Spearman correlation is below threshold: -0.067 < 0.200. | Step 6 signal class is no_target_detected_signal, which requires semantic review.	correct;suspicious;wrong;no_signal
FADT0042	mAOC-CD21	gene	CR2	RNA	CR2	map:id_left_join	0.95	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting	B	local_marker_prior	0.95	B;CLP;NK/T	B;Monocyte;NK/T	B;NK/T	B	B	FALSE		ok	0.716666666666667	0.89170335990073	0.795134882058251	9	8.232373	1094	99.233129	3.537232	110.336175	0	trimodal_candidate	target_enriched	Target cells are enriched by raw TNR and thresholded positive rate.	correct	0.9	rule:target_enriched	Mapping is resolved and Step 6 classified ADT signal as target_enriched.	Use as target-consistent ADT feature.	FALSE		
FADT0043	mAOC-CD19	gene	CD19	RNA	CD19	map:id_left_join	0.95	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting	B	local_marker_prior	0.95	B;MEBEMP-L;Monocyte	B;CLP;NK/T	B	B	B	FALSE		ok	0.13547584699278	0.382690731870403	0.146452196259504	9	NA	NA	NA	NA	0.766871	99.233129	fit_failed	no_target_enrichment	No threshold and no clear target raw enrichment.	llm_review_needed		rule:llm_queue	RNA-ADT Spearman correlation is below threshold: 0.135 < 0.200. | Step 6 signal class is no_target_enrichment, which requires semantic review.	Send structured evidence to LLM for final triage label.	TRUE	RNA-ADT Spearman correlation is below threshold: 0.135 < 0.200. | Step 6 signal class is no_target_enrichment, which requires semantic review.	correct;suspicious;wrong;no_signal
FADT0046	mAOC-CD4	gene	CD4	RNA	CD4	map:id_left_join	0.95	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting	Monocyte;NK/T	local_marker_prior	0.95	ERYP;Monocyte;NK/T	CLP;Monocyte;NK/T	Monocyte;NK/T	Monocyte;NK/T	Monocyte;NK/T	FALSE		ok	0.883333333333333	0.861953560256995	0.742963940039709	9	45.496275	6046	70.418006	44.89906	7.960935	17.041801	trimodal_candidate	target_enriched	Target cells are enriched by raw TNR and thresholded positive rate.	correct	0.9	rule:target_enriched	Mapping is resolved and Step 6 classified ADT signal as target_enriched.	Use as target-consistent ADT feature.	FALSE		
FADT0158	mAOC-CD27	gene	CD27	RNA	CD27	map:id_left_join	0.95	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting	B;NK/T	local_marker_prior	0.95	B;MKP;NK/T	MKP;Monocyte;NK/T	MKP;NK/T	B;NK/T	NK/T	FALSE		ok	0.627620556566792	0.998115518881326	0.996234589031738	9	0.323576	43	5.208333	0.02396	14.807144	86.067708	rare_positive	rare_target_enriched	Low global positive rate but target cells are enriched.	correct	0.9	rule:target_enriched	Mapping is resolved and Step 6 classified ADT signal as rare_target_enriched.	Use as target-consistent ADT feature.	FALSE		
FADT0159	mAOC-CD28	gene	CD28	RNA	CD28	map:id_left_join	0.95	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting	NK/T	local_marker_prior	0.95	B;Monocyte;NK/T	B;MKP;NK/T	B;NK/T	NK/T	NK/T	FALSE		ok	0.559402390487169	0.959789714618852	0.921196296288137	9	1.121228	149	27.586207	0.88818	11.314589	53.448276	rare_positive	rare_target_enriched	Low global positive rate but target cells are enriched.	correct	0.9	rule:target_enriched	Mapping is resolved and Step 6 classified ADT signal as rare_target_enriched.	Use as target-consistent ADT feature.	FALSE		
FADT0160	mAOC-CD161	gene	KLRB1	RNA	KLRB1	map:id_left_join	0.95	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting	NK/T	local_marker_prior	0.95	B;Monocyte;NK/T	CLP;MKP;NK/T	NK/T	NK/T	NK/T	FALSE		ok	0.288176989038844	0.967812236610991	0.93666052533397	9	1.79848	239	25.862069	1.586579	12.827651	43.103448	rare_positive	rare_target_enriched	Low global positive rate but target cells are enriched.	correct	0.9	rule:target_enriched	Mapping is resolved and Step 6 classified ADT signal as rare_target_enriched.	Use as target-consistent ADT feature.	FALSE		
